Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Location
Moxa Nport Device,NE4110S+AF8-125,,,00:90:e8:09:4c:c6,,,
Moxa Nport Device,NE4110A+AF8-625,,,00:90:e8:09:61:f1,,,
Moxa Nport Device,NE4110S+AF8-203,,,00:90:e8:09:64:fb,,,
Moxa Nport Device,NP5410+AF8-65,,,00:90:e8:09:7c:9c,,,
Moxa Nport Device,NP5210+AF8-69,,,00:90:e8:09:94:e5,,,
Moxa Nport Device,NP5210+AF8-255,,,00:90:e8:09:95:9f,,,
Moxa Nport Device,NE4110S+AF8-326,,,00:90:e8:09:d8:57,,,
Moxa Nport Device,NE4110S+AF8-341,,,00:90:e8:09:d8:66,,,
Moxa Nport Device,NE4110A+AF8-237,,,00:90:e8:09:e1:43,,,
Moxa Nport Device,NE4110A+AF8-391,,,00:90:e8:09:e1:dd,,,
Moxa Nport Device,5210+AC0-N+AF8-335,,,00:90:e8:09:f0:19,,,
Moxa Nport Device,NP5210+AF8-416,,,00:90:e8:09:f0:6a,,,
Moxa Nport Device,NE4110A+AF8-119,,,00:90:e8:0a:07:92,,,
Moxa Nport Device,MTS+AC0-MOXA,,,00:90:e8:0a:0f:96,,,
Moxa Nport Device,NP5230+AF8-441,,,00:90:e8:0a:20:9e,,,
Moxa Nport Device,5210+AC0-N+AF8-89,,,00:90:e8:0a:2f:e8,,,
Moxa Nport Device,ScottCity+AF8-KS,,,00:90:e8:0a:34:b9,,,
Moxa Nport Device,MOX+AF8-UG+AF8-POP+AF8-REGENCY,,,00:90:e8:0a:38:0a,,,
Moxa Nport Device,MOX+AF8-UG+AF8-ROKE+AF8-HOUSE,,,00:90:e8:0a:38:18,,,
Moxa Nport Device,anx+AC0-serial8201,,,00:90:e8:0a:42:94,,,
Moxa Nport Device,anx+AC0-bts+AC0-serial01,,,00:90:e8:0a:42:f0,,,
Moxa Nport Device,NP5210+AF8-198,,,00:90:e8:0a:55:6f,,,
Moxa Nport Device,TelectronicsTPOS,,,00:90:e8:0a:61:8e,,,
Moxa Nport Device,anx+AC0-ae+AC0-du+AC0-serial01,,,00:90:e8:0a:61:b8,,,
Moxa Nport Device,anx+AC0-lon+AC0-serial01.anx13.lon.uk,,,00:90:e8:0a:61:d2,,,
Moxa Nport Device,TelectronicsTPOS,,,00:90:e8:0a:62:17,,,
Moxa Nport Device,anx+AC0-zur+AC0-serial01,,,00:90:e8:0a:62:5c,,,
Moxa Nport Device,,,,00:90:e8:0a:62:70,,,
Moxa Nport Device,prm+AC0-dc+AC0-moxa01,,,00:90:e8:0a:62:76,,,
Moxa Nport Device,TelectronicsTPOS,,,00:90:e8:0a:62:91,,,
Moxa Nport Device,anx+AC0-fra+AC0-serial01.anx25.fra.de,,,00:90:e8:0a:63:1e,,,
Moxa Nport Device,anx+AC0-yyz+AC0-serial01.anx55.yyz.ca,,,00:90:e8:0a:63:56,,,
Moxa Nport Device,anx+AC0-nbg+AC0-serial03,,,00:90:e8:0a:65:0b,,,
Moxa Nport Device,anx+AC0-serial8203,,,00:90:e8:0a:65:22,,,
Moxa Nport Device,anx+AC0-serial8202,,,00:90:e8:0a:65:35,,,
Moxa Nport Device,4s+AC0-zg+AC0-moxa2,,,00:90:e8:0a:65:56,,,
Moxa Nport Device,GACM+AC0-83M+AC0-ELo+AC0-C,,,00:90:e8:0a:73:5f,,,
Moxa Nport Device,HOR2+AC0-AD21+AC0-Nport,,,00:90:e8:0a:80:52,,,
Moxa Nport Device,4s+AC0-zg+AC0-moxa1,,,00:90:e8:0a:81:1d,,,
Moxa Nport Device,anx+AC0-muc+AC0-serial01,,,00:90:e8:0a:81:64,,,
Moxa Nport Device,NP5610+AC0-16+AF8-210,,,00:90:e8:0a:8b:8e,,,
Moxa Nport Device,NP5610+AC0-8+AF8-152,,,00:90:e8:0a:a7:ab,,,
Moxa Nport Device,UFA+AC0-MOXA+AC0-MANGO,,,00:90:e8:0a:d5:2c,,,
Moxa Nport Device,GoDigital,,,00:90:e8:0a:e0:d6,,,
Moxa Nport Device,NP5410+AF8-123,,,00:90:e8:0a:f7:37,,,
Moxa Nport Device,NP5232+AF8-247,,,00:90:e8:0a:fa:36,,,
Moxa Nport Device,NP5230+AF8-278,,,00:90:e8:0b:0f:9e,,,
Moxa Nport Device,5232+AC0-N+AF8-04,,,00:90:e8:0b:0f:fc,,,
Moxa Nport Device,5232+AC0-N+AF8-02,,,00:90:e8:0b:0f:fd,,,
Moxa Nport Device,NP5210+AF8-48,,,00:90:e8:0b:25:69,,,
Moxa Nport Device,NP5210+AF8-77,,,00:90:e8:0b:25:86,,,
Moxa Nport Device,NP5230+AF8-132,,,00:90:e8:0b:36:16,,,
Moxa Nport Device,S42,,,00:90:e8:0b:4a:b2,,,
Moxa Nport Device,NP5110+AF8-426,,,00:90:e8:0b:4f:0e,,,
Moxa Nport Device,NP5230+AF8-83,,,00:90:e8:0b:59:60,,,
Moxa Nport Device,5232+AC0-N+AF8-8,,,00:90:e8:0b:67:77,,,
Moxa Nport Device,5232+AC0-N+AF8-19,,,00:90:e8:0b:67:82,,,
Moxa Nport Device,NP5230+AF8-41,,,00:90:e8:0b:7c:d3,,,
Moxa Nport Device,NP5232+AF8-213,,,00:90:e8:0b:95:78,,,
Moxa Nport Device,NP5210+AF8-302,,,00:90:e8:0b:9c:94,,,
Moxa Nport Device,NP5110+AF8-42,,,00:90:e8:0b:a2:b1,,,
Moxa Nport Device,NE4110S+AF8-306,,,00:90:e8:0b:d8:52,,,
Moxa Nport Device,NE4110A+AF8-57,,,00:90:e8:0b:e2:81,,,
Moxa Nport Device,NE4110A+AF8-231,,,00:90:e8:0b:f7:df,,,
Moxa Nport Device,NP5110+AF8-399,,,00:90:e8:0b:fa:02,,,
Moxa Nport Device,Guelmim,,,00:90:e8:0b:fd:b7,,,
Moxa Nport Device,NP5110+AF8-1438,,,00:90:e8:0b:fe:11,,,
Moxa Nport Device,Southwold,,,00:90:e8:0c:0d:2d,,,
Moxa Nport Device,NP5210+AF8-404,,,00:90:e8:0c:0e:70,,,
Moxa Nport Device,NP5210+AF8-700,,,00:90:e8:0c:0f:98,,,
Moxa Nport Device,GoDigital,,,00:90:e8:0c:2d:ac,,,
Moxa Nport Device,NE4110A+AF8-4,,,00:90:e8:0c:3f:8e,,,
Moxa Nport Device,offline+AC0-tv.viatel.ee,,,00:90:e8:0c:45:95,,,
Moxa Nport Device,NP5210+AF8-628,,,00:90:e8:0c:46:3b,,,
Moxa Nport Device,NP5110+AF8-561,,,00:90:e8:0c:5f:0f,,,
Moxa Nport Device,NP5110+AF8-1035,,,00:90:e8:0c:60:e9,,,
Moxa Nport Device,MendotaBuoyGateway,,,00:90:e8:0c:7f:b5,,,
Moxa Nport Device,NP5110+AF8-1115,,,00:90:e8:0c:7f:e2,,,
Moxa Nport Device,NP5232+AF8-63,,,00:90:e8:0c:8f:f3,,,
Moxa Nport Device,NP5232+AF8-135,,,00:90:e8:0c:90:3b,,,
Moxa Nport Device,blanding+AC0-gps,,,00:90:e8:0c:9b:55,,,
Moxa Nport Device,NP5110+AF8-910,,,00:90:e8:0c:9b:fc,,,
Moxa Nport Device,5210+AC0-N+AF8-19,,,00:90:e8:0c:9c:e1,,,
Moxa Nport Device,5210+AC0-N+AF8-23,,,00:90:e8:0c:9c:e5,,,
Moxa Nport Device,5210+AC0-N+AF8-27,,,00:90:e8:0c:9c:e9,,,
Moxa Nport Device,5210+AC0-N+AF8-30,,,00:90:e8:0c:9c:ec,,,
Moxa Nport Device,ServerName+AD0-ES2,,,00:90:e8:0c:9d:18,,,
Moxa Nport Device,5210+AC0-N+AF8-80,,,00:90:e8:0c:9d:1e,,,
Moxa Nport Device,Dupline+AC0-Online+AC0-349,,,00:90:e8:0c:bd:b9,,,
Moxa Nport Device,FUCH+AC0-MOXA,,,00:90:e8:0c:be:f3,,,
Moxa Nport Device,NP5110+AF8-245,,,00:90:e8:0c:d0:61,,,
Moxa Nport Device,NP5110+AF8-397,,,00:90:e8:0c:d0:f9,,,
Moxa Nport Device,Kiev+AC0-testroom,,,00:90:e8:0c:ef:9e,,,
Moxa Nport Device,NP5110+AF8-1422,,,00:90:e8:0c:ef:f3,,,
Moxa Nport Device,NP5110+AF8-1422,,,00:90:e8:0c:f0:e4,,,
Moxa Nport Device,NP5210+AF8-100,,,00:90:e8:0c:f3:7a,,,
Moxa Nport Device,NP5210+AF8-IL29+ACY-Manito+AF8-Blacktop,,,00:90:e8:0c:f9:2f,,,
Moxa Nport Device,NP5110+AF8-111,,,00:90:e8:0d:01:4a,,,
Moxa Nport Device,NP5110+AF8-298,,,00:90:e8:0d:06:e7,,,
Moxa Nport Device,5232+AC0-N+AF8-25,,,00:90:e8:0d:2d:f0,,,
Moxa Nport Device,NP5110+AF8-211,,,00:90:e8:0d:4b:a5,,,
Moxa Nport Device,NP5110+AF8-539,,,00:90:e8:0d:4c:ed,,,
Moxa Nport Device,NP5110+AF8-645,,,00:90:e8:0d:4d:57,,,
Moxa Nport Device,NP5110+AF8-1282,,,00:90:e8:0d:4f:d4,,,
Moxa Nport Device,NP5110+AF8-1285,,,00:90:e8:0d:4f:d7,,,
Moxa Nport Device,NP5110+AF8-1422,,,00:90:e8:0d:4f:df,,,
Moxa Nport Device,NP5110+AF8-1422,,,00:90:e8:0d:50:61,,,
Moxa Nport Device,NE4100T+AF8-486,,,00:90:e8:0d:5c:92,,,
Moxa Nport Device,NP5232+AF8-32,,,00:90:e8:0d:62:32,,,
Moxa Nport Device,NP5110+AF8-780,,,00:90:e8:0d:76:ae,,,
Moxa Nport Device,Dupline+AC0-Online+AC0-1542,,,00:90:e8:0d:79:a8,,,
Moxa Nport Device,ozoniya,,,00:90:e8:0d:83:e0,,,
Moxa Nport Device,brevetox,,,00:90:e8:0d:9b:b2,,,
Moxa Nport Device,NE4110A+AF8-490,,,00:90:e8:0d:a4:7f,,,
Moxa Nport Device,MJC+AC0-TS,,,00:90:e8:0d:b1:03,,,
Moxa Nport Device,NP5110+AF8-419,,,00:90:e8:0d:b3:26,,,
Moxa Nport Device,NP5610+AC0-8+AF8-47,,,00:90:e8:0d:c3:34,,,
Moxa Nport Device,5232+AC0-N+AF8-38,,,00:90:e8:0d:d3:d4,,,
Moxa Nport Device,NP5232+AF8-217,,,00:90:e8:0d:de:e2,,,
Moxa Nport Device,NP5110+AF8-370,,,00:90:e8:0d:e5:d1,,,
Moxa Nport Device,NP5110+AF8-587,,,00:90:e8:0d:e6:aa,,,
Moxa Nport Device,NP5110+AF8-988,,,00:90:e8:0d:e8:3b,,,
Moxa Nport Device,NP5650+AC0-8+AF8-21,,,00:90:e8:0d:ec:d8,,,
Moxa Nport Device,Pribor,,,00:90:e8:0d:f6:88,,,
Moxa Nport Device,moxa+AC0-ekt+AC0-3,,,00:90:e8:0d:f8:e2,,,
Moxa Nport Device,NP5130+AF8-70,,,00:90:e8:0d:fa:2e,,,
Moxa Nport Device,NP5130+AF8-128,,,00:90:e8:0d:fa:68,,,
Moxa Nport Device,NP5130+AF8-153,,,00:90:e8:0d:fa:81,,,
Moxa Nport Device,NP5110+AF8-740,,,00:90:e8:0e:0c:24,,,
Moxa Nport Device,NP5110+AF8-1162,,,00:90:e8:0e:0d:ca,,,
Moxa Nport Device,NP5610+AC0-8+AF8-355,,,00:90:e8:0e:14:35,,,
Moxa Nport Device,NE+AC0-4110S+AF8-998,,,00:90:e8:0e:2c:f0,,,
Moxa Nport Device,5230+AC0-N+AF8-10,,,00:90:e8:0e:2d:9e,,,
Moxa Nport Device,NP5150+AF8-72,,,00:90:e8:0e:30:ff,,,
Moxa Nport Device,Clacton,,,00:90:e8:0e:49:c6,,,
Moxa Nport Device,DH+AC0-ACOD+AC0-FILANCO,,,00:90:e8:0e:5f:7c,,,
Moxa Nport Device,NP6150+AF8-83,,,00:90:e8:0e:79:60,,,
Moxa Nport Device,Do+AF8-Not+AF8-Change+AF8-Serial+AF8-Port+AF8-to+AF8-Port,,,00:90:e8:0e:7e:d5,,,
Moxa Nport Device,NE+AC0-4110S+AF8-46,,,00:90:e8:0e:86:bc,,,
Moxa Nport Device,MMH+AC0-TS+AC0-B,,,00:90:e8:0e:a0:f3,,,
Moxa Nport Device,NP6450+AF8-98,,,00:90:e8:0e:a0:f4,,,
Moxa Nport Device,NP5210+AF8-284,,,00:90:e8:0e:b1:6d,,,
Moxa Nport Device,TLT+AC0-MOXA+AC0-MANGO,,,00:90:e8:0e:c0:cd,,,
Moxa Nport Device,NP5130+AF8-612,,,00:90:e8:0e:cc:59,,,
Moxa Nport Device,NP5130+AF8-720,,,00:90:e8:0e:cc:c5,,,
Moxa Nport Device,5232+AC0-N+AF8-243,,,00:90:e8:0e:f9:5b,,,
Moxa Nport Device,NP5410+AF8-407,,,00:90:e8:0e:fc:c3,,,
Moxa Nport Device,GoDigital,,,00:90:e8:0f:1c:1a,,,
Moxa Nport Device,NP5130+AF8-174,,,00:90:e8:0f:2e:0a,,,
Moxa Nport Device,NE4110S+AF8-90,,,00:90:e8:0f:32:a3,,,
Moxa Nport Device,NE4110S+AF8-103,,,00:90:e8:0f:32:b0,,,
Moxa Nport Device,NE4110S+AF8-104,,,00:90:e8:0f:32:b1,,,
Moxa Nport Device,NE4110S+AF8-112,,,00:90:e8:0f:32:b9,,,
Moxa Nport Device,NE4110S+AF8-121,,,00:90:e8:0f:32:c2,,,
Moxa Nport Device,NE4110S+AF8-130,,,00:90:e8:0f:32:cb,,,
Moxa Nport Device,NE4110S+AF8-141,,,00:90:e8:0f:32:d6,,,
Moxa Nport Device,NE4110S+AF8-703,,,00:90:e8:0f:35:08,,,
Moxa Nport Device,NE4110S+AF8-712,,,00:90:e8:0f:35:11,,,
Moxa Nport Device,NP5110+AF8-97,,,00:90:e8:0f:3c:3c,,,
Moxa Nport Device,NP5110+AF8-786,,,00:90:e8:0f:3e:ed,,,
Moxa Nport Device,NP5110+AF8-138,,,00:90:e8:0f:60:3f,,,
Moxa Nport Device,NP5110+AF8-987,,,00:90:e8:0f:63:90,,,
Moxa Nport Device,NP5110+AF8-1373,,,00:90:e8:0f:65:12,,,
Moxa Nport Device,NP5110+AF8-Tarnaors,,,00:90:e8:0f:66:a3,,,
Moxa Nport Device,NP5110+AF8-sarvar,,,00:90:e8:0f:66:a7,,,
Moxa Nport Device,NP5110+AF8-1780,,,00:90:e8:0f:66:a9,,,
Moxa Nport Device,NP5610+AC0-16+AF8-220,,,00:90:e8:0f:68:95,,,
Moxa Nport Device,5232+AC0-N+AF8-6,,,00:90:e8:0f:88:32,,,
Moxa Nport Device,5232+AC0-N+AF8-44,,,00:90:e8:0f:88:58,,,
Moxa Nport Device,NP5230+AF8-766,,,00:90:e8:0f:b0:8c,,,
Moxa Nport Device,NPSDK1558,,,00:90:e8:0f:d7:5a,,,
Moxa Nport Device,NP5110+AF8-434,,,00:90:e8:0f:ec:e0,,,
Moxa Nport Device,KLP+AF8-OKT+AF8-77+AF8-3u,,,00:90:e8:0f:ec:ef,,,
Moxa Nport Device,NP5610+AC0-16+AF8-357,,,00:90:e8:10:05:aa,,,
Moxa Nport Device,NP5230+AF8-676,,,00:90:e8:10:17:5f,,,
Moxa Nport Device,NE+AC0-4100T+AF8-814,,,00:90:e8:10:1c:3d,,,
