Vendor,Product,Product Number,Serial Number,MAC,Software,Release Year?,Exclude
Lantronix,NTS,,,00:20:4A:02:98:78,Software version 04.4 (010817),,
Lantronix,Universal Device Server,,,00:20:4A:02:A3:87,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:54:AD,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:66:BA,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:69:81,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:69:A5,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:74:85,Software version V5.8.0.1 (041013) U200,,
Lantronix,Universal Device Server,,,00:20:4A:03:87:2D,Software version 05.2 (030423) LTXE,,
Lantronix,Universal Device Server,,,00:20:4A:03:90:93,Software version 05.2 (030423) LTXE,,
Lantronix,Universal Device Server,,,00:20:4A:03:92:C3,Software version 05.2 (030423) LTXE,,
Lantronix,Universal Device Server,,,00:20:4A:03:93:2B,Software version 05.2 (030423) LTXE,,
Lantronix,Universal Device Server,,,00:20:4A:03:A8:97,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:03:AC:9A,Software version V5.8.0.1 (041013) U200,,
Lantronix,Universal Device Server,,,00:20:4A:03:C8:00,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:22:8D,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:46:91,Software version V5.8.0.5 (060724) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:6B:8B,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:92:98,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B2:75,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B2:83,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B2:A1,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B2:D8,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B2:F3,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B3:04,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B3:39,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B3:54,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B5:CA,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B8:32,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B8:4F,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:B8:7B,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:C9:BF,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:C9:D5,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:C9:D8,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:C9:F3,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:CA:0D,Software version V5.8.0.1 (041112) LTX,,
Lantronix,+ACoAKgAq- Checkpoint/Lantronix Network Adaptor,,,00:20:4A:04:D8:21,Software version V5.8.15.5RC1 (060830) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:DC:DB,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:DD:50,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:E6:92,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:04:E9:AC,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:E9:D1,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:04:E9:D5,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:0A:4D,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:33:39,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:05:33:54,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:05:33:6F,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:05:33:D4,Software version V5.8.0.1 (041102) DLX,,
Lantronix,Universal Device Server,,,00:20:4A:05:4D:90,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:4D:DF,Software version V5.8.0.5 (060724) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:5B:70,Software version V5.8.0.5 (060724) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:62:AE,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:68:4A,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:75:0B,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:75:6D,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:7F:24,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:86:F0,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:93:74,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:B7:64,Software version V5.8.0.1 (041112) LTX,,
Lantronix,Universal Device Server,,,00:20:4A:05:D9:BE,Software version V5.8.0.1 (041112) LTX,,
Lantronix,+ACoAKgAq- Checkpoint/Lantronix Network Adaptor,,,00:20:4A:05:EF:6A,Software version 04.5 (011219),,
Lantronix,Universal Device Server,,,00:20:4A:06:6E:8C,Software version V5.8.0.7 (061010) DLX,,
