Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Moxa,NP5110,,00:90:e8:2A:E5:34,,,X
Moxa,NP5110,,00:90:e8:56:78:5d,,,X
Moxa,NE4110S,,00:90:e8:09:4c:c6,,,
Moxa,NE4110A,,00:90:e8:09:61:f1,,,
Moxa,NE4110S,,00:90:e8:09:64:fb,,,
Moxa,NP5410,,00:90:e8:09:7c:9c,,,
Moxa,NP5210,,00:90:e8:09:94:e5,,,
Moxa,NP5210,,00:90:e8:09:95:9f,,,
Moxa,NE4110S,,00:90:e8:09:d8:57,,,
Moxa,NE4110S,,00:90:e8:09:d8:66,,,
Moxa,NE4110A,,00:90:e8:09:e1:43,,,
Moxa,NE4110A,,00:90:e8:09:e1:dd,,,
Moxa,NP5210,,00:90:e8:09:f0:19,,,
Moxa,NP5210,,00:90:e8:09:f0:6a,,,
Moxa,NE4110A,,00:90:e8:0a:07:92,,,
Moxa,NP5230,,00:90:e8:0a:20:9e,,,
Moxa,NP5210,,00:90:e8:0a:2f:e8,,,
Moxa,NP5210,,00:90:e8:0a:55:6f,,,
Moxa,NP5610,,00:90:e8:0a:8b:8e,,,
Moxa,NP5610,,00:90:e8:0a:a7:ab,,,
Moxa,NP5410,,00:90:e8:0a:f7:37,,,
Moxa,NP5232,,00:90:e8:0a:fa:36,,,
Moxa,NP5230,,00:90:e8:0b:0f:9e,,,
Moxa,NP5232,,00:90:e8:0b:0f:fc,,,
Moxa,NP5232,,00:90:e8:0b:0f:fd,,,
Moxa,NP5210,,00:90:e8:0b:25:69,,,
Moxa,NP5210,,00:90:e8:0b:25:86,,,
Moxa,NP5230,,00:90:e8:0b:36:16,,,
Moxa,NP5110,,00:90:e8:0b:4f:0e,,,
Moxa,NP5230,,00:90:e8:0b:59:60,,,
Moxa,NP5232,,00:90:e8:0b:67:77,,,
Moxa,NP5232,,00:90:e8:0b:67:82,,,
Moxa,NP5230,,00:90:e8:0b:7c:d3,,,
Moxa,NP5232,,00:90:e8:0b:95:78,,,
Moxa,NP5210,,00:90:e8:0b:9c:94,,,
Moxa,NP5110,,00:90:e8:0b:a2:b1,,,
Moxa,NE4110S,,00:90:e8:0b:d8:52,,,
Moxa,NE4110A,,00:90:e8:0b:e2:81,,,
Moxa,NE4110A,,00:90:e8:0b:f7:df,,,
Moxa,NP5110,,00:90:e8:0b:fa:02,,,
Moxa,NP5110,,00:90:e8:0b:fe:11,,,
Moxa,NP5210,,00:90:e8:0c:0e:70,,,
Moxa,NP5210,,00:90:e8:0c:0f:98,,,
Moxa,NE4110A,,00:90:e8:0c:3f:8e,,,
Moxa,NP5210,,00:90:e8:0c:46:3b,,,
Moxa,NP5110,,00:90:e8:0c:5f:0f,,,
