Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Phoenix Contacts,ILC 150,2985330,00:A0:45:04:27:D7,,,
Phoenix Contacts,ILC 390,2985314,00:A0:45:06:6C:A2,,,
Phoenix Contacts,ILC 130,2988803,00:A0:45:42:1B:F9,,,
Phoenix Contacts,FL IL 24 BK+AC0-PN+AC0-PAC,2878816,00:A0:45:58:AE:D2,,,
Phoenix Contacts,ILC 330,2988191,00:A0:45:5F:07:DB,,,
Phoenix Contacts,ILC 171,2700975,00:A0:45:8B:08:9C,,,
Phoenix Contacts,ILC 151,2701141,00:A0:45:9D:40:74,,,X
Phoenix Contacts,ILC 151,2701141,00:A0:45:9D:42:54,,,X
Phoenix Contacts,FL SWITCH 7008+AC0-EIP,2701418,00:A0:45:AD:29:C1,,,
Phoenix Contacts,FL SWITCH SMCS 16TX,2700996,00:A0:45:CB:22:58,,,
Phoenix Contacts,ILC 131,2700973,00:A0:45:8C:65:81,,,
