Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Schneider,HMISTU655,,00:01:23:17:F7:6F,,,
Schneider,HMISTU855,,00:01:23:2A:7C:9C,,,
Schneider,HMISTU855,,00:01:23:2D:BA:A3,,,X
Schneider,HMISTU855,,00:01:23:2D:BD:7B,,,X
Schneider,TM221ME,,00:80:F4:0D:01:49,,,
Schneider,TM221ME,,00:80:F4:0D:03:B0,,,
Schneider,TM221ME,,00:80:F4:0D:09:CE,,,
Schneider,TM221ME,,00:80:F4:0D:17:1A,,,
Schneider,TM221CE,,00:80:F4:0D:98:4D,,,
Schneider,TM221CE,,00:80:F4:0D:B9:56,,,
Schneider,TM221CE,,00:80:F4:0D:BB:E4,,,
Schneider,TM221CE,,00:80:F4:0E:57:87,,,
Schneider,TM221CE,,00:80:F4:0E:58:89,,,X
Schneider,TM221CE,,00:80:F4:0E:59:BC,,,X
