Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Siemens,Scalance XF208,6GK5208-0BA00-2AF2,00:1B:1B:04:96:23,,,
Siemens,Simatic IPC627C,6ES7650-4AA00-0DA3,00:1B:1B:08:2B:DC,,,
Siemens,S7-1511,,00:1B:1B:13:41:73,,,
Siemens,S7-1513,6ES7 513-1AL00-0AB0,00:1B:1B:13:BA:19,,,
Siemens,S7-1212,,00:1B:1B:14:0D:90,,,
Siemens,S7-314C,314-6EH04-0AB0,00:1B:1B:17:BA:AD,,,
Siemens,S7-317,317-2EK14-0AB0,00:1B:1B:2C:10:23,,,
Siemens,ET200M,153-4AA01-0XB0,00:1B:1B:2F:CA:D1,,,
Siemens,CPU 315-2,315 2EH14-0AB0,00:1B:1B:30:AD:F4,,,
Siemens,SINAUT ST7,6NH7800-4BA00,00:1B:1B:47:1D:C8,,,
Siemens,Scalance S612,6GK5612-0BA10-2AA3,00:1B:1B:48:92:D5,,,
Siemens,Scalance X204 IRT,6GK5204-0BA00-2BA3,00:1B:1B:4C:19:83,,,
Siemens,Scalance X204 IRT,6GK5204-0BA00-2BA3,00:1B:1B:4C:19:88,,,
Siemens,CP 343-1,343-1GX31-0XE0,00:1B:1B:4D:18:00,,,
Siemens,CP 343-1,343-1GX31-0XE0,00:1B:1B:4D:1A:FF,,,
Siemens,SINAUT ST7,6NH7800-3CA00,00:1B:1B:4F:D1:1F,,,
Siemens,SINAUT ST7,6NH7800-3CA00,00:1B:1B:4F:D1:25,,,
Siemens,SIMATIC DP,6ES7158-3AD01-0XA0,00:1B:1B:64:97:80,,,
Siemens,ET200SP,6ES7155-6AUD0-0BN0,00:1B:1B:6E:66:B0,,,
Siemens,Scalance S623,623-0BA10-2AA3,00:1B:1B:7A:C8:76,,,
Siemens,TouchPanel,,00:1B:1B:82:57:76,,,
Siemens,Scalance X310FE,310-0BA00-2AA3,00:1B:1B:84:CF:EA,,,
Siemens,Scalance X310FE,310-0BA00-2AA3,00:1B:1B:84:CF:F5,,,
Siemens,Scalance X310FE,310-0BA00-2AA3,00:1B:1B:84:D0:37,,,
Siemens,Scalance X310FE,310-0BA00-2AA3,00:1B:1B:84:D0:42,,,
Siemens,Scalance X310FE,310-0BA00-2AA3,00:1B:1B:84:D0:63,,,
Siemens,Scalance S623,623-0BA10-2AA3,00:1B:1B:88:9F:AD,,,
Siemens,Scalance S623,623-0BA10-2AA3,00:1B:1B:88:A0:5B,,,
Siemens,Scalance S623,623-0BA10-2AA3,00:1B:1B:88:A0:67,,,
Siemens,Scalance S623,623-0BA10-2AA3,00:1B:1B:8C:C7:12,,,
Siemens,Scalance X208,208-0BA10-2AA3,00:1B:1B:90:96:A8,,,
Siemens,Scalance X208,208-0BA10-2AA3,00:1B:1B:90:97:02,,,
Siemens,Logo,6GK7 142-7 X00-0AX0,00:1B:1B:B4:44:B2,,,
Siemens,Scalance XB208,6GK5208-0BA00-2AB2,00:1B:1B:E7:DC:C1,,,
Siemens,Logo,6ED1 052-1FB00-0BA7,00:1C:06:00:00:00,,,
Siemens,S7-1212,6ES7 212-1BD30-0XB0,00:1C:06:00:B5:2B,,,
Siemens,S7-1214,6ES7 214-1BE30-0XB0,00:1C:06:03:61:68,,,
Siemens,Logo,6ED1 052-1FB00-0BA7,00:1C:06:04:91:C7,,,
Siemens,S7-1212,212-1BD30-0XB0,00:1C:06:09:D7:F3,,,
Siemens,Logo,6ED1 052-1FB00-0BA8,00:1C:06:1B:C4:DF,,,
Siemens,KP 300,6AV6647-0AH11-3AX0,00:1C:06:35:C0:7B,,2017,X
Siemens,KP 300,6AV6647-0AH11-3AX0,00:1C:06:35:C0:7C,,2017,X
Siemens,KP 300,6AV6647-0AH11-3AX0,00:1C:06:2D:21:63,,,
Siemens,KP 300,6AV6647-0AH11-3AX0,00:1C:06:0D:E4:32,,,
Siemens,SINAMICS G120C,6SL3210-1KE11-8AF2,00:1F:F8:E6:47:D1,,2015,
Siemens,SINAMICS G120C,6SL3210-1KE11-8AF2,00:1F:F8:E6:47:D4,,2015,
Siemens,CP 343-1 IT,6GK7 343-1GX00-0XE0,08:00:06:01:00:06,,,
Siemens,CP 443-1,6GK7 443-1EX11-0XE0,08:00:06:95:19:92,,,
Siemens,Scalance S612,6GK5612-0BA10-2AA3,08:00:06:96:07:E3,,,
Siemens,Scalance S612,6GK5612-0BA10-2AA3,08:00:06:96:9B:3C,,,
Siemens,CP 343-1,6GK7343-1CX10-0XE0,08:00:06:9C:4A:0B,,,
Siemens,ET200,,20:87:56:1B:35:FB,,,
Siemens,TP700,6AV2133-4AF00-0AA0,28:63:36:39:DF:C8,,2015,
Siemens,TP700,6AV2133-4AF00-0AA0,28:63:36:49:3A:46,,2015,
Siemens,TP700,6AV2133-4AF00-0AA0,28:63:36:49:3A:52,,2015,
Siemens,TP700,6AV2133-4AF00-0AA0,28:63:36:49:3A:58,,2015,
Siemens,S7-1515,6ES7677-2AA41-0FL0,28:63:36:4D:60:39,,2015,
Siemens,S7-1515,6ES7677-2AA41-0FL0,28:63:36:4D:60:43,,2015,
Siemens,S7-1515,6ES7677-2AA41-0FL0,28:63:36:4D:60:DC,,2015,
Siemens,S7-1515,6ES7677-2AA41-0FL0,28:63:36:4D:65:0B,,2015,
Siemens,S7-1215F,6ES7 215-1HF40-0XB0 ,28:63:36:A4:1F:E0,,2017,
Siemens,S7-314C,6ES7 314-6EH04-0AB0 ,28:63:36:AC:82:AC,,2017,
