Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Star Micronics,TSP654 (STR+AF8-T+AC0-001),,00:11:62:05:CA:51,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:07:87:E5,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:07:E3:EC,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:07:F5:CD,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:08:6F:87,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:08:73:51,,,
Star Micronics,TSP143 (STR+AF8-T+AC0-001),,00:11:62:08:73:63,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:0F:DD:57,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:0F:DD:A4,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:0F:DE:67,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:0F:DF:CA,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:0F:E7:B4,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:33:A7,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:36:6A,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:38:32,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:4F:7D,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:4F:8B,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:50:91,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:55:D9,,,
Star Micronics,TSP143IIILAN (STR+AF8-T+AC0-001),,00:11:62:10:55:EB,,,
