Vendor,Product,Product Number,Serial Number,MAC,Software,Exclude
Allied Telesis Holdings K.K.,iMG726MOD,iMG726+AC0-MAIN,,00:0c:25:22:5a:56,3+AC0-8+AC0-03 release 14,
Allied Telesis Holdings K.K.,iMG726MOD,iMG726+AC0-MAIN,,00:0c:25:22:5a:56,3+AC0-8+AC0-03 release 14,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:29:5e,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:29:90,1+AC0-2+AC0-1 release 1,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:29:e8,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:2e:38,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:35:c8,2+AC0-3 release 59,
Allied Telesis Holdings K.K.,RG613LH,RG600E,,00:0d:da:00:36:93,2+AC0-5 release 48+AF8-01+AF8-01,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:37:fc,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:39:12,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:39:2f,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3a:5a,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3a:72,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3b:c1,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3c:45,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3c:4c,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3c:6e,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3c:95,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3d:15,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3d:16,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3d:45,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3d:6c,2+AC0-3 release 59,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3e:25,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3f:8a,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3f:8f,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3f:a3,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:3f:b6,2+AC0-2+AC0-0 release 44,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:40:e9,2+AC0-2+AC0-0 release 44,
Allied Telesis Holdings K.K.,RG613LH,RG600E,,00:0d:da:00:45:a6,2+AC0-5 release 55+AF8-10+AF8-35,
Allied Telesis K.K.,RG613LH,,,00:0d:da:00:4d:38,2+AC0-3 release 59,
Allied Telesis Holdings K.K.,RG623LH,RG600E,,00:0d:da:00:7a:e1,3+AC0-5 release 83+AF8-03+AF8-96,
Allied Telesis Holdings K.K.,RG623LH,RG600E,,00:0d:da:00:7a:e1,3+AC0-5 release 83+AF8-03+AF8-96,
Allied Telesis K.K.,RG623LH,,,00:0d:da:00:7b:94,2+AC0-3 release 59,
