Vendor,Product,Product Number,MAC,Software,Release Year?,Exclude
Wago Kontakttechnik,750-8100,,00:30:DE:41:B9:F0,,,X
Wago Kontakttechnik,750-8100,,00:30:DE:41:B9:E6,,,X
Wago Kontakttechnik,750-8206,,00:30:DE:41:A2:67,,,
Wago Kontakttechnik,750-8206,,00:30:DE:41:37:50,,,
Wago Kontakttechnik,750-377,,00:30:DE:41:31:3B,,,
Wago Kontakttechnik,750-880,,00:30:DE:0C:AE:84,,,X
Wago Kontakttechnik,750-880,,00:30:DE:0C:AE:68,,,X
Wago Kontakttechnik,750-889,,00:30:DE:0C:AA:6C,,,X
Wago Kontakttechnik,750-889,,00:30:DE:0C:AA:68,,,X
Wago Kontakttechnik,750-889,,00:30:DE:0C:08:54,,,
Wago Kontakttechnik,750-881,,00:30:DE:0B:F9:AC,,,
Wago Kontakttechnik,750-880,,00:30:DE:0B:B5:73,,,
Wago Kontakttechnik,750-880,,00:30:DE:0B:B3:97,,,
Wago Kontakttechnik,750-831,,00:30:DE:0A:CA:A1,,,
Wago Kontakttechnik,750-881,,00:30:DE:09:8C:44,,,
Wago Kontakttechnik,750-881,,00:30:DE:09:03:D0,,,
Wago Kontakttechnik,750-881,,00:30:DE:08:FC:75,,,
Wago Kontakttechnik,750-880,,00:30:DE:08:E7:AA,,,
Wago Kontakttechnik,750-880,,00:30:DE:08:C3:0C,,,
Wago Kontakttechnik,750-849,,00:30:DE:08:B2:35,,,
Wago Kontakttechnik,750-881,,00:30:DE:08:25:90,,,
Wago Kontakttechnik,750-842,,00:30:DE:08:09:EF,,,
Wago Kontakttechnik,750-881,,00:30:DE:07:C6:8E,,,
Wago Kontakttechnik,750-881,,00:30:DE:06:DA:3F,,,
Wago Kontakttechnik,750-841,,00:30:DE:06:B9:D3,,,
Wago Kontakttechnik,750-881,,00:30:DE:06:4E:A3,,,
Wago Kontakttechnik,750-871,,00:30:DE:05:2F:02,,,
Wago Kontakttechnik,750-880,,00:30:DE:05:28:58,,,
Wago Kontakttechnik,750-871,,00:30:DE:05:08:9A,,,
Wago Kontakttechnik,750-370,,00:30:DE:04:D0:75,,,
Wago Kontakttechnik,750-881,,00:30:DE:04:5A:97,,,
Wago Kontakttechnik,750-341,,00:30:DE:03:DC:ED,,,
Wago Kontakttechnik,750-352,,00:30:DE:03:CB:7E,,,
Wago Kontakttechnik,750-849,,00:30:DE:03:58:CC,,,
Wago Kontakttechnik,750-841,,00:30:DE:03:13:33,,,
Wago Kontakttechnik,750-880,,00:30:DE:02:6C:3C,,,
Wago Kontakttechnik,750-341,,00:30:DE:02:4D:EB,,,
Wago Kontakttechnik,750-841,,00:30:DE:02:3D:48,,,
Wago Kontakttechnik,750-841,,00:30:DE:01:AA:1B,,,
Wago Kontakttechnik,750-341,,00:30:DE:00:EB:50,,,
Wago Kontakttechnik,750-842,,00:30:DE:00:74:42,,,
Wago Kontakttechnik,750-842,,00:30:DE:00:65:2D,,,
Wago Kontakttechnik,750-342,,00:30:DE:00:3F:24,,,
Wago Kontakttechnik,750-842,,00:30:DE:00:1A:78,,,
Wago Kontakttechnik,750-842,,00:30:DE:00:08:CA,,,
